date,Face_Masks_Required_in_Public
4/10/2020,
4/11/2020,
4/12/2020,
4/13/2020,
4/14/2020,
4/15/2020,
4/16/2020,
4/17/2020,
4/18/2020,
4/19/2020,
4/20/2020,
4/21/2020,
4/22/2020,
4/23/2020,
4/24/2020,
4/25/2020,
4/26/2020,
4/27/2020,
4/28/2020,
4/29/2020,
4/30/2020,
5/1/2020,
5/2/2020,
5/3/2020,
5/4/2020,
5/5/2020,
5/6/2020,
5/7/2020,
5/8/2020,
5/9/2020,
5/10/2020,
5/11/2020,
5/12/2020,
5/13/2020,
5/14/2020,
5/15/2020,
5/16/2020,
5/17/2020,
5/18/2020,
5/19/2020,
5/20/2020,
5/21/2020,
5/22/2020,
5/23/2020,
5/24/2020,
5/25/2020,
5/26/2020,
5/27/2020,
5/28/2020,
5/29/2020,
5/30/2020,
5/31/2020,
6/1/2020,
6/2/2020,
6/3/2020,
6/4/2020,
6/5/2020,
6/6/2020,
6/7/2020,
6/8/2020,
6/9/2020,
6/10/2020,
6/11/2020,
6/12/2020,
6/13/2020,
6/14/2020,
6/15/2020,
6/16/2020,
6/17/2020,
6/18/2020,
6/19/2020,
6/20/2020,
6/21/2020,
6/22/2020,
6/23/2020,
6/24/2020,
6/25/2020,
6/26/2020,
6/27/2020,
6/28/2020,
6/29/2020,
6/30/2020,
7/1/2020,Yes
7/2/2020,Yes
7/3/2020,Yes
7/4/2020,Yes
7/5/2020,Yes
7/6/2020,Yes
7/7/2020,Yes
7/8/2020,Yes
7/9/2020,Yes
7/10/2020,Yes
7/11/2020,Yes
7/12/2020,Yes
7/13/2020,Yes
7/14/2020,Yes
7/15/2020,Yes
7/16/2020,Yes
7/17/2020,Yes
7/18/2020,Yes
7/19/2020,Yes
7/20/2020,Yes
7/21/2020,Yes
7/22/2020,Yes
7/23/2020,Yes
7/24/2020,Yes
7/25/2020,Yes
7/26/2020,Yes
7/27/2020,Yes
7/28/2020,Yes
7/29/2020,Yes
7/30/2020,Yes
7/31/2020,Yes
8/1/2020,Yes
8/2/2020,Yes
8/3/2020,Yes
8/4/2020,Yes
8/5/2020,Yes
8/6/2020,Yes
8/7/2020,Yes
8/8/2020,Yes
8/9/2020,Yes
8/10/2020,Yes
8/11/2020,Yes
8/12/2020,Yes
8/13/2020,Yes
8/14/2020,Yes
8/15/2020,Yes
8/16/2020,Yes
8/17/2020,Yes
8/18/2020,Yes
8/19/2020,Yes
8/20/2020,Yes
8/21/2020,Yes
8/22/2020,Yes
8/23/2020,Yes
8/24/2020,Yes
8/25/2020,Yes
8/26/2020,Yes
8/27/2020,Yes
8/28/2020,Yes
8/29/2020,Yes
8/30/2020,Yes
8/31/2020,Yes
9/1/2020,Yes
9/2/2020,Yes
9/3/2020,Yes
9/4/2020,Yes
9/5/2020,Yes
9/6/2020,Yes
9/7/2020,Yes
9/8/2020,Yes
9/9/2020,Yes
9/10/2020,Yes
9/11/2020,Yes
9/12/2020,Yes
9/13/2020,Yes
9/14/2020,Yes
9/15/2020,Yes
9/16/2020,Yes
9/17/2020,Yes
9/18/2020,Yes
9/19/2020,Yes
9/20/2020,Yes
9/21/2020,Yes
9/22/2020,Yes
9/23/2020,Yes
9/24/2020,Yes
9/25/2020,Yes
9/26/2020,Yes
9/27/2020,Yes
9/28/2020,Yes
9/29/2020,Yes
9/30/2020,Yes
10/1/2020,Yes
10/2/2020,Yes
10/3/2020,Yes
10/4/2020,Yes
10/5/2020,Yes
10/6/2020,Yes
10/7/2020,Yes
10/8/2020,Yes
10/9/2020,Yes
10/10/2020,Yes
10/11/2020,Yes
10/12/2020,Yes
10/13/2020,Yes
10/14/2020,Yes
10/15/2020,Yes
10/16/2020,Yes
10/17/2020,Yes
10/18/2020,Yes
10/19/2020,Yes
10/20/2020,Yes
10/21/2020,Yes
10/22/2020,Yes
10/23/2020,Yes
10/24/2020,Yes
10/25/2020,Yes
10/26/2020,Yes
10/27/2020,Yes
10/28/2020,Yes
10/29/2020,Yes
10/30/2020,Yes
10/31/2020,Yes
11/1/2020,Yes
11/2/2020,Yes
11/3/2020,Yes
11/4/2020,Yes
