date,infections
2/29/2020,1
3/1/2020,2
3/2/2020,4
3/3/2020,6
3/4/2020,8
3/5/2020,18
3/6/2020,19
3/7/2020,27
3/8/2020,31
3/9/2020,31
3/10/2020,37
3/11/2020,68
3/12/2020,108
3/13/2020,133
3/14/2020,154
3/15/2020,154
3/16/2020,200
3/17/2020,266
3/18/2020,310
3/19/2020,348
3/20/2020,385
3/21/2020,447
3/22/2020,480
3/23/2020,519
3/24/2020,614
3/25/2020,634
3/26/2020,778
3/27/2020,912
3/28/2020,913
3/29/2020,912
3/30/2020,1068
3/31/2020,1229
4/1/2020,1304
4/2/2020,1376
4/3/2020,1376
4/4/2020,1503
4/5/2020,1559
4/6/2020,1603
4/7/2020,1659
4/8/2020,1695
4/9/2020,1745
4/10/2020,1802
4/11/2020,1835
4/12/2020,1867
4/13/2020,1907
4/14/2020,1950
4/15/2020,1988
4/16/2020,2032
4/17/2020,2056
4/18/2020,2093
4/19/2020,2143
4/20/2020,2163
4/21/2020,2189
4/22/2020,2209
4/23/2020,2216
4/24/2020,2243
4/25/2020,2297
4/26/2020,2311
4/27/2020,2332
4/28/2020,2365
4/29/2020,2389
4/30/2020,2433
5/1/2020,2453
5/2/2020,2493
5/3/2020,2509
5/4/2020,2537
5/5/2020,2549
5/6/2020,2584
5/7/2020,2627
5/8/2020,2634
5/9/2020,2664
5/10/2020,2681
5/11/2020,2690
5/12/2020,2711
5/13/2020,2720
5/14/2020,2739
5/15/2020,2756
5/16/2020,2773
5/17/2020,2784
5/18/2020,2797
5/19/2020,2818
5/20/2020,2826
5/21/2020,2846
5/22/2020,2863
5/23/2020,2863
5/24/2020,2895
5/25/2020,2904
5/26/2020,2916
5/27/2020,2927
5/28/2020,2937
5/29/2020,2945
5/30/2020,2956
5/31/2020,2967
6/1/2020,2983
6/2/2020,2992
6/3/2020,3002
6/4/2020,3014
6/5/2020,3026
6/6/2020,3032
6/7/2020,3034
6/8/2020,3059
6/9/2020,3080
6/10/2020,3086
6/11/2020,3111
6/12/2020,3131
6/13/2020,3138
6/14/2020,3157
6/15/2020,3168
6/16/2020,3184
6/17/2020,3200
6/18/2020,3216
6/19/2020,3235
6/20/2020,3243
6/21/2020,3259
6/22/2020,3336
6/23/2020,3354
6/24/2020,3380
6/25/2020,3413
6/26/2020,3438
6/27/2020,3445
6/28/2020,3468
6/29/2020,3515
6/30/2020,3546
7/1/2020,3595
7/2/2020,3648
7/3/2020,3667
7/4/2020,3700
7/5/2020,3731
7/6/2020,3767
7/7/2020,3795
7/8/2020,3827
7/9/2020,3867
7/10/2020,3929
7/11/2020,3977
7/12/2020,4051
7/13/2020,4089
7/14/2020,4136
7/15/2020,4206
7/16/2020,4262
7/17/2020,4330
7/18/2020,4377
7/19/2020,4413
7/20/2020,4489
7/21/2020,4527
7/22/2020,4575
7/23/2020,4650
7/24/2020,4724
7/25/2020,4764
7/26/2020,4794
7/27/2020,4854
7/28/2020,4906
7/29/2020,4958
7/30/2020,5039
7/31/2020,5095
8/1/2020,5151
8/2/2020,5166
8/3/2020,5231
8/4/2020,5270
8/5/2020,5335
8/6/2020,5377
8/7/2020,5428
8/8/2020,5467
8/9/2020,5492
8/10/2020,5542
8/11/2020,5590
8/12/2020,5629
8/13/2020,5678
8/14/2020,5726
8/15/2020,5741
8/16/2020,5749
